"","Team","Year","Latitude","Longitude","Times.Won","video"
"1","ManchesterUnited","1992/93",53.4875,-2.2901,1,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"2","ManchesterUnited","1993/94",53.4875,-2.2901,2,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"3","BlackburnRovers","1994/95",53.7486,-2.4875,1,'<iframe width="300" height="315" src="https://www.youtube.com/embed/WomG1S-nUgM" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"4","ManchesterUnited","1995/96",53.4875,-2.2901,3,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"5","ManchesterUnited","1996/97",53.4875,-2.2901,4,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"6","Arsenal","1997/98",51.557,-0.098,1,'<iframe width="300" height="315" src="https://www.youtube.com/embed/j8Mk9ubOATk" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"7","ManchesterUnited","1998/99",53.4875,-2.2901,5,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"8","ManchesterUnited","1999/00",53.4875,-2.2901,6,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"9","ManchesterUnited","2000/01",53.4875,-2.2901,7,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"10","Arsenal","2001/02",51.557,-0.098,2,'<iframe width="300" height="315" src="https://www.youtube.com/embed/j8Mk9ubOATk" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"11","ManchesterUnited","2002/03",53.4875,-2.2901,8,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"12","Arsenal","2003/04",51.557,-0.098,3,'<iframe width="300" height="315" src="https://www.youtube.com/embed/j8Mk9ubOATk" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"13","Chelsea","2004/05",51.4773,-0.2017,1,'<<iframe width="300" height="315" src="https://www.youtube.com/embed/IhfyaEAew9s" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"14","Chelsea","2005/06",51.4773,-0.2017,2,'<<iframe width="300" height="315" src="https://www.youtube.com/embed/IhfyaEAew9s" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"15","ManchesterUnited","2006/07",53.4875,-2.2901,9,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"16","ManchesterUnited","2007/08",53.4875,-2.2901,10,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"17","ManchesterUnited","2008/09",53.4875,-2.2901,11,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"18","Chelsea","2009/10",51.4773,-0.2017,3,'<<iframe width="300" height="315" src="https://www.youtube.com/embed/IhfyaEAew9s" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"19","ManchesterUnited","2010/11",53.4875,-2.2901,12,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"20","ManchesterCity","2011/12",53.4808,-2.2246,1,'<iframe width="300" height="315" src="https://www.youtube.com/embed/rK_W0t6rI3g" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"21","ManchesterUnited","2012/13",53.4875,-2.2901,13,'<iframe width="300" height="315" src="https://www.youtube.com/embed/FktBW8BAJ44" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"22","ManchesterCity","2013/14",53.4808,-2.2246,2,'<iframe width="300" height="315" src="https://www.youtube.com/embed/rK_W0t6rI3g" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"23","Chelsea","2014/15",51.4773,-0.2017,4,'<<iframe width="300" height="315" src="https://www.youtube.com/embed/IhfyaEAew9s" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"24","LeicesterCity","2015/16",52.6369,-1.1398,1,'<iframe width="300" height="315" src="https://www.youtube.com/embed/NVQVG4Nhbws" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"25","Chelsea","2016/17",51.4773,-0.2017,5,'<<iframe width="300" height="315" src="https://www.youtube.com/embed/IhfyaEAew9s" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"26","ManchesterCity","2017/18",53.4808,-2.2246,3,'<iframe width="300" height="315" src="https://www.youtube.com/embed/rK_W0t6rI3g" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"27","ManchesterCity","2018/19",53.4808,-2.2246,4,'<iframe width="300" height="315" src="https://www.youtube.com/embed/rK_W0t6rI3g" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
"28","Liverpool","2019/20",53.4084,-2.9913,0,'<iframe width="300" height="315" src="https://www.youtube.com/embed/evyno2kahOc" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>'
